"","rn","1","variable","estimate"
"935","Vehicle.StylePassenger Minivan:NumDoors.Clean4",0.0662842665607259,"Vehicle.StylePassenger Minivan:NumDoors.Clean4",0.0662842665607259
"936","Vehicle.StylePassenger Van:NumDoors.Clean4",0,"Vehicle.StylePassenger Van:NumDoors.Clean4",0
"937","Vehicle.StyleRegular Cab Pickup:NumDoors.Clean4",0,"Vehicle.StyleRegular Cab Pickup:NumDoors.Clean4",0
"938","Vehicle.StyleSedan:NumDoors.Clean4",0,"Vehicle.StyleSedan:NumDoors.Clean4",0
"939","Vehicle.StyleWagon:NumDoors.Clean4",0,"Vehicle.StyleWagon:NumDoors.Clean4",0
"940","highway.MPG:city.mpg",0,"highway.MPG:city.mpg",0
"941","highway.MPG:Popularity",0,"highway.MPG:Popularity",0
"942","highway.MPG:Engine.HP.Clean",6.74251385742225e-06,"highway.MPG:Engine.HP.Clean",6.74251385742225e-06
"943","highway.MPG:Engine.Cylinders.Clean4",0,"highway.MPG:Engine.Cylinders.Clean4",0
"944","highway.MPG:Engine.Cylinders.Clean5",0,"highway.MPG:Engine.Cylinders.Clean5",0
"945","highway.MPG:Engine.Cylinders.Clean6",0,"highway.MPG:Engine.Cylinders.Clean6",0
"946","highway.MPG:Engine.Cylinders.Clean8",0,"highway.MPG:Engine.Cylinders.Clean8",0
"947","highway.MPG:Engine.Cylinders.Clean10",2.14203696420213e-06,"highway.MPG:Engine.Cylinders.Clean10",2.14203696420213e-06
"948","highway.MPG:Engine.Cylinders.Clean12",3.56360609495512e-05,"highway.MPG:Engine.Cylinders.Clean12",3.56360609495512e-05
"949","highway.MPG:Engine.Cylinders.Clean16",0,"highway.MPG:Engine.Cylinders.Clean16",0
"950","highway.MPG:NumDoors.Clean3",0,"highway.MPG:NumDoors.Clean3",0
"951","highway.MPG:NumDoors.Clean4",0,"highway.MPG:NumDoors.Clean4",0
"952","city.mpg:Popularity",0,"city.mpg:Popularity",0
"953","city.mpg:Engine.HP.Clean",5.39094100823466e-05,"city.mpg:Engine.HP.Clean",5.39094100823466e-05
"954","city.mpg:Engine.Cylinders.Clean4",0,"city.mpg:Engine.Cylinders.Clean4",0
"955","city.mpg:Engine.Cylinders.Clean5",0,"city.mpg:Engine.Cylinders.Clean5",0
"956","city.mpg:Engine.Cylinders.Clean6",0,"city.mpg:Engine.Cylinders.Clean6",0
"957","city.mpg:Engine.Cylinders.Clean8",0.000196987235375085,"city.mpg:Engine.Cylinders.Clean8",0.000196987235375085
"958","city.mpg:Engine.Cylinders.Clean10",0.0156882771590478,"city.mpg:Engine.Cylinders.Clean10",0.0156882771590478
"959","city.mpg:Engine.Cylinders.Clean12",0.000405855417755789,"city.mpg:Engine.Cylinders.Clean12",0.000405855417755789
"960","city.mpg:Engine.Cylinders.Clean16",0,"city.mpg:Engine.Cylinders.Clean16",0
"961","city.mpg:NumDoors.Clean3",0,"city.mpg:NumDoors.Clean3",0
"962","city.mpg:NumDoors.Clean4",0,"city.mpg:NumDoors.Clean4",0
"963","Popularity:Engine.HP.Clean",-9.12063977395077e-09,"Popularity:Engine.HP.Clean",-9.12063977395077e-09
"964","Popularity:Engine.Cylinders.Clean4",7.57306557656042e-06,"Popularity:Engine.Cylinders.Clean4",7.57306557656042e-06
"965","Popularity:Engine.Cylinders.Clean5",0,"Popularity:Engine.Cylinders.Clean5",0
"966","Popularity:Engine.Cylinders.Clean6",0,"Popularity:Engine.Cylinders.Clean6",0
"967","Popularity:Engine.Cylinders.Clean8",-3.95036957493477e-06,"Popularity:Engine.Cylinders.Clean8",-3.95036957493477e-06
"968","Popularity:Engine.Cylinders.Clean10",2.65058399639604e-06,"Popularity:Engine.Cylinders.Clean10",2.65058399639604e-06
"969","Popularity:Engine.Cylinders.Clean12",2.1161742796898e-06,"Popularity:Engine.Cylinders.Clean12",2.1161742796898e-06
"970","Popularity:Engine.Cylinders.Clean16",0,"Popularity:Engine.Cylinders.Clean16",0
"971","Popularity:NumDoors.Clean3",0,"Popularity:NumDoors.Clean3",0
"972","Popularity:NumDoors.Clean4",0,"Popularity:NumDoors.Clean4",0
"973","Engine.HP.Clean:Engine.Cylinders.Clean4",0.000120420539501142,"Engine.HP.Clean:Engine.Cylinders.Clean4",0.000120420539501142
"974","Engine.HP.Clean:Engine.Cylinders.Clean5",0,"Engine.HP.Clean:Engine.Cylinders.Clean5",0
"975","Engine.HP.Clean:Engine.Cylinders.Clean6",0,"Engine.HP.Clean:Engine.Cylinders.Clean6",0
"976","Engine.HP.Clean:Engine.Cylinders.Clean8",-6.03049397856974e-06,"Engine.HP.Clean:Engine.Cylinders.Clean8",-6.03049397856974e-06
"977","Engine.HP.Clean:Engine.Cylinders.Clean10",4.34353143358174e-08,"Engine.HP.Clean:Engine.Cylinders.Clean10",4.34353143358174e-08
"978","Engine.HP.Clean:Engine.Cylinders.Clean12",0,"Engine.HP.Clean:Engine.Cylinders.Clean12",0
"979","Engine.HP.Clean:Engine.Cylinders.Clean16",0,"Engine.HP.Clean:Engine.Cylinders.Clean16",0
"980","Engine.HP.Clean:NumDoors.Clean3",0,"Engine.HP.Clean:NumDoors.Clean3",0
"981","Engine.HP.Clean:NumDoors.Clean4",0,"Engine.HP.Clean:NumDoors.Clean4",0
"982","Engine.Cylinders.Clean4:NumDoors.Clean3",-0.033998495598566,"Engine.Cylinders.Clean4:NumDoors.Clean3",-0.033998495598566
"983","Engine.Cylinders.Clean5:NumDoors.Clean3",0,"Engine.Cylinders.Clean5:NumDoors.Clean3",0
"984","Engine.Cylinders.Clean6:NumDoors.Clean3",0,"Engine.Cylinders.Clean6:NumDoors.Clean3",0
"985","Engine.Cylinders.Clean8:NumDoors.Clean3",0,"Engine.Cylinders.Clean8:NumDoors.Clean3",0
"986","Engine.Cylinders.Clean10:NumDoors.Clean3",0,"Engine.Cylinders.Clean10:NumDoors.Clean3",0
"987","Engine.Cylinders.Clean12:NumDoors.Clean3",0,"Engine.Cylinders.Clean12:NumDoors.Clean3",0
"988","Engine.Cylinders.Clean16:NumDoors.Clean3",0,"Engine.Cylinders.Clean16:NumDoors.Clean3",0
"989","Engine.Cylinders.Clean4:NumDoors.Clean4",0,"Engine.Cylinders.Clean4:NumDoors.Clean4",0
"990","Engine.Cylinders.Clean5:NumDoors.Clean4",0.0785603954394789,"Engine.Cylinders.Clean5:NumDoors.Clean4",0.0785603954394789
"991","Engine.Cylinders.Clean6:NumDoors.Clean4",0,"Engine.Cylinders.Clean6:NumDoors.Clean4",0
"992","Engine.Cylinders.Clean8:NumDoors.Clean4",0,"Engine.Cylinders.Clean8:NumDoors.Clean4",0
"993","Engine.Cylinders.Clean10:NumDoors.Clean4",0,"Engine.Cylinders.Clean10:NumDoors.Clean4",0
"994","Engine.Cylinders.Clean12:NumDoors.Clean4",0.000109866165735393,"Engine.Cylinders.Clean12:NumDoors.Clean4",0.000109866165735393
"995","Engine.Cylinders.Clean16:NumDoors.Clean4",0,"Engine.Cylinders.Clean16:NumDoors.Clean4",0
